key,elev_ft
f2c1119fc3744ac7,7.97906911031708
b5d48451b5126de7,6.45040782452328
0ccc103e2b2a268a,2.2157843589628397
797964500db14925,3.41575105090508
fce3b230f7a457c1,11.841091963560599
58044c1aae5f2970,6.00636063839776
043b176d686ff314,6.09193202565048
bf67a69edb908860,8.49631933028116
06f1fbc04426d723,7.49855944599064
4e167f5593292fa3,8.01506891133784
4add4b01549fba27,7.7339336595593595
8e9f145f55eb24b4,9.72171420873264
e2bd423fe03bb407,10.967853382467359
7de1f557f884e2c8,5.6892208939973195
90dc07e63b54bdb4,5.85346533166784
f90ae223ce0863d3,5.3577036819452
b92adbbdbf970736,7.168722821262639
1a8be69218459557,7.27050049184236
99b2e57cd3e93be2,7.1031060835986
9dfdc2809c66b402,7.354356875759359
e4776782b245ef09,7.10401735987448
bd6b2aeb1e4a4eba,13.976114761540119
dc99825b54f44113,8.61000463575636
f390a048746f37ab,2.52020590085656
966ab20436065c31,5.585966796205
2dc976922a4cc867,10.05810500033704
6dd668a60a3f8691,6.73563326672136
753bd51f9f506291,7.392366962277521
e38c8dd77da40cd2,6.9837708534019205
aa35f5d9f3eecfa0,5.99179973898168
78640dcef15b43ab,6.9705060826362395
24eca074e3044698,7.8089713719343194
aa63d938d3c5aaf0,4.3136981826577605
5a57bec8154ec7fc,6.31863071072636
d4236b14974bf40c,-0.7944802222737599
8b773c2ff3a809a2,8.98470431638192
3e91f3e64b421ac6,4.0623711208095195
8ab9d6b15aac0c7b,10.18478286528312
01cd4a81693ac605,7.279043041328321
5a678427c4d417b9,6.31187043491948
7245d401e28ccdf4,8.733274396918839
41c6987d6b98cb43,10.22642633446348
80646e74514a9eb2,3.14933646560816
9338658a58a57308,9.43283504922604
65938293029dc4ee,4.8069356295437204
13c8c23e060310b4,4.40501492442504
fc6ffc1bb3ecdb93,4.18484067853432
7c61f796cbfd9cd5,5.35095122766088
b16b2d7611178247,5.2709527178830795
40089da7afbda43c,4.71924522647516
db93fe0cd41c945b,12.78266938214252
05b7717d77fe5131,7.5163594924920005
97a1af851505266c,5.0959203894474
78abd00ff69de317,5.99912008042328
6e5e02eff9e387e7,8.31407069255944
83a5ede0892b37a5,4.02205193972928
6635426469e7c737,6.039466246412521
80090513949a73db,3.9119245346304004
02db62e9e85b5e66,2.94352737109576
dd8611a2cadb4e51,3.1912257418829997
033ff0c3d93f6ae5,7.713246467296321
df8b3ef65f36936d,4.73962970219308
86dcad82fb631c42,5.06363727489728
95e207de149abec7,6.1760246398900005
82149cff2505f3e3,3.46006890337312
